handle,source,niche,followers,avg_views,last_post_date
tabare_sotomayor,seed,amazon fba,85871,263880.1,2026-02-21T01:20:13.000Z
ecommerce_kyle,similar_r1,amazon fba,31478,1702.4,2026-03-25T19:46:42.000Z
fulfilledbymama,similar_r1,amazon fba,14734,2724.5,2026-03-26T14:32:49.000Z
boxem,similar_r1,amazon fba,23084,1664.1,2026-03-18T16:12:17.000Z
kristina.s.ferrari,similar_r1,amazon fba,15247,6429.2,2026-03-24T18:49:27.000Z
thenurselois,similar_r1,amazon fba,49694,5624.9,2026-03-20T14:09:51.000Z
georgeacheampongjr,similar_r1,amazon fba,93301,2118.1,2026-03-24T15:35:25.000Z
aliswiftly,similar_r1,amazon fba,81130,3300.6,2026-02-24T14:37:16.000Z
inspiringparenthood,similar_r1,amazon fba,33734,7493.1,2026-03-26T23:09:35.000Z
ecom.profit.path,similar_r1,amazon fba,94488,2483.8,2026-03-25T14:17:08.000Z
thecelticunion,similar_r1,amazon fba,15406,5982.6,2026-03-15T17:03:59.000Z
trashpandasthrift,similar_r2,amazon fba,51430,22520.4,2026-02-10T20:21:19.000Z
